Komentar,Label
Untuk makanan itik bagus ini....,Positif
Jangan dimakan sudah ada penelitiannya...terdapat logam berat,Negatif
"Gua pernah makan ikan sapu"" goreng dan itu enak 😁",Positif
"Hanya sekedar mengingatkan, perairan Indonesia itu kotor. Jadi kalau ada sapu sapu jangan dimakan, ada banyak logam berat soalnya. Cek aja di google",Negatif
😮😮😮😮😮,Netral
P,Netral
Pantas somay nya khas dan enk.. trnyata sapu2.. tp trnyata bahaya.. 😢,Netral
Satu kilonya brapa nengku😂,Netral
Daripada Dibuang Mendingan Diolah Buat Pakan Kucing Atau Anjing Yg Hidup Dijalanan Asalkan Dibuang Bersih Dan Diambil Dagingnya Saja Dan Diolah .. Insyaallah Pasti Bermanfaat,Positif
Beracon,Netral
Bukan di Indonesia,Netral
"Ikan sapu sapu tidak berbahaya, yg bahaya itu yg pengepul sapu sapu",Negatif
Trauma beli siomay sekarang 😭,Netral
"Bikin ikan asin bisa aja tuh..
 Gurih kli",Netral
Apakah siomay Abang² pada make ikan sapu sapu.😢,Netral
Kalau di jadikan pelet pakan ayam,Netral
"Kesini gara gara liat ikan sapu sapu berserakan di jalan..
 😂",Netral
Azabbb tapii LeAdZadd JhoNsss 😂😮😅❤❤❤,Netral
"Ikan sapu-sapu, bagian kepalanya dan kulit saja di buang, bahaya, bagian lain di konsumsi saja..",Netral
Berbahaya,Netral
Sebenarnya ikan sapu2 enak bikin ikan asin,Positif
"Ikan sapu-sapu menyerap racun dari limbah di sungai.
 Tubuhnya banyak racun termasuk merkuri. Berbahaya dikonsumsi.
 Efeknya jangka panjang bukan saat dimakan langsung terasa efeknya di tubuh.
 Waspada penjual somay dan bakso yg pakai ikan Sapu-Sapu.",Negatif
Tidak cocok untuk di konsumsi jangka panjang 😂,Negatif
"kalau sungai indo bersih mah gpp, tapi realitanya jangan dah kalo ga mau kena kanker",Negatif
Dulu saya beli ikan ini 1kg dipasar.dibuat somay rasa enak..dicocol saus lencong tambah enak,Positif
Ikan mirip ikan purba siluman wkwk,Netral
Sejak tau somay sapu2 lngsung ogah jajan somay murah😅,Netral
Katanya Daginggnya mengandun logam emas tembaga perak 😅,Netral
"Kalau di habitat aslinya, sungai amazon sih gw mau makan. Soalnya belum tercemar. Tapi kalo di indo ga deh. Soalnya di beberapa negara amerika selatan, ikan sapu2 emang di komsumsi. Sama seperti sapi di india. Dagingnya juga ga boleh di konsumsi. Soalnya makannya sampah. Kecuali sapi ternak, baru dagingnya aman dikomsumsi.",Negatif
Enak dibuat siomay,Positif
Buat siomaykepala kulit buat kuah 😂,Netral
"Kalo tempat dia nangkep ikannya jelas sih pengen2 aj makan. Mau di budidaya jg dilarang kan di Indonesia, jadi pasti ditangkep dialam liar. Kalo ditangkepnya di sungai tercemar ya sama aj bundir",Netral
Ternyata begitu cara motong sapi,Netral
Gk bhaya ta ikan ini klo d mkn?,Netral
"Produksi buat pakan ternak...itu jauh lbh bagus,akibat ulah para bajingan penjual ikan hias,yg membahayakan ekosistem ikan lokal",Netral
Emang di indo ada yg jual dagingnya aja? daerah mana? dimasak apa?,Netral
Uno,Netral
Y,Netral
"Ogah , banyak bakteri. Microplastic , ibarat lo makan penyedot debu tapi itu hewan",Netral
Dagingnya mengandung merkuri yg berbahaya buat tubuh,Netral
#musnahkanikansapu2 ayo para pemancing sama2 cari sensasi memburu dan memusnahkan ikan sapu-sapu dari perairan Nusantara,Netral
Aku mau ..perkilo berapa,Netral
Somay dan otak² ikan tengiri 😂😂,Netral
"Gua ada 1 dikamar mandi, gua taro dibak mandi, biar dia makan lumut, alhamdulilah udh mau 6 bulan gak bersih²in bak😅",Negatif
"Kelamaan! Belah aja bagian punggungnya, terus dagingnya di kerok pakai pisau atau sendok.",Netral
"Bagi yg masih bertanya² apakah Ikan sapu-sapu apakah bisa dan boleh di konsumsi?
 
 Jawabannya : bisa dan boleh² aja di konsumsi dan gak ada yg ngelarang.
 
 Tapi yg jadi masalah adalah ikan sapu² itu punya ketahanan yg sangat luar biasa, bisa bertahanan di lingkungan air yg sangat buruk sekalipun seperti di sungai Ciliwung atau sungai di jakarta yg tingkat pencemarannya sangat tinggi, dan ikan sapu2 dari tempat seperti itu banyak yg mengambil dan memanfaatkan menjadi olahan makanan dan otomatis ikan sapu² dari tempat seperti itu dagingnya sudah tercemar logam berat. Tapi kalau ikan sapu² yg dipelihara di kolam, aquarium atau yg diambil lingkungan air yg tingkat pencemaran airnya masih rendah,aman² aja untuk di konsumsi",Negatif
Buat makan anjing dan kucing mantap,Positif
Lumayan kalo buat makan anjing dan kucing,Netral
assalamualaikum bang,Netral
Wenakkk n sedappp...hemmm,Netral
"Padahal bahaya banget daging sapu"" Itu, karna mengandung logam berat",Negatif
"Kok ada yang mau makan ya , padahal di dalam dagingx banyak mengandung merkuri dan logam ..",Netral
Penuh timbal,Netral
Salah klo mengambil dagingnya dengan cara seperti ini.daging banyak teebuang,Netral
"Selamat Siang
 
 
 
 Kami dari tim On The Spot Trans 7 memohon izin untuk menayangkan video ini dari channel youtube Anda.
 
 Video akan ditayangkan pada salah satu segmen tayangan On The Spot.
 
 
 
 Video yang ditayangkan akan mendapatkan credit berupa pencantuman nama akun Anda pada tayangan kami.
 
 Atas izinnya jika berkenan kami ucapkan terima kasih.
 
 
 
 Best Regards,
 
 On The Spot Team",Netral
Uh....terbayang merkuri yg ada di dagingnya 😂,Netral
di meksiko itu di jadikan makanan hewan.,Netral
Dari pada b1 b2,Netral
Pemakan siomay sapu-sapu sejatinya adalah pejuang lingkungan secara tidak langsung.,Negatif
enak loh dagingnya,Positif
"Tapi disatu sisi bagus juga ada yg berburu ikan hama ini soalnya ini ikan invasif perkembangan nya sangat cepat banget, saya liat di tiktok ada abg abg yg tiap hari live nangkepin ikan ini dpt banyak banget disatu tempat, setiap hari lho",Netral
enak dagingnya,Positif
Seperti tidak ada saja lagi ikan lain didunia ini ...😂😂😂,Negatif
Biar punah sekalian aja Gpp itu ikan parasit utk ekosistem ikan yg lain,Netral
bnyak tukang somey beli itu😅,Netral
Pake piso kecil + sendok cepet,Netral
"Ini ikan amis nya bukan main, kaya rasa bangke mati",Negatif
Apakah ikan sapu2 bisa di makan,Netral
Yg penting halal👍💪,Netral
Saya pernah makan....emang enak,Positif
Y,Netral
Katanya bikin gatel gatel ya..,Netral
GK bisa dimak BG banyak racunya,Netral
Semua daging enak,Positif
Harammmm!,Netral
Bikin kangker woy hadeh,Netral
Ikang?,Netral
Jadi somay enaaaakk😅,Netral
Ini biasa di pake bakso ikan atau basreng... Pake ikan sapu2😂,Netral
Buat somay,Netral
Di kampungku itu namanya ikan gawok,Netral
Bahaya,Negatif
Tidak saya tak mau,Negatif
😮😮,Netral
Ikan ini gak boleh di makan kan?,Negatif
"Itu Ikan KOTORAN,...Gak layak dikonsumsi 😮😮",Netral
Kelamaan masih itu dibanding Abang dipinggir kali cuman modal sendok doang,Netral
Ikan sapu-sapu.,Netral
"Ngeri jika d konsumsi terus menerus,,,biasanya d jadikan siomay d jkt 😬",Netral
Di jakarta banyak di jadikan siomai...,Netral
"Ga bang, tinggi kandungan timbalnya.",Negatif
jijih memakannya ...,Netral
Ikan bandaraya itu,Netral
Masih banyak ikan yang lain lebih enak,Positif
Ikan dg kandungan zat berbahaya..tdk untk konsumsi,Netral
No thanks.,Negatif
Enggaaaaak,Netral
Ikan bandaraya,Netral
Kalau latahnya ke pembersihan sampah...mungkin lebih bermanfaat kali yak 😂,Positif
"Aku punya ide, mending lepas 5 ekor buaya jantan, kalo ikan sapu sapunya sudah mulai habis, buayanya di tangkap jadikan tas",Netral
"Itu bisa dimakan ,caranya ikan yg ketangkap dimasukan ke air yg jernih sebulan baru dimasak dan aman",Netral
Semoga langsung di ganti dengan juta an ikan yg lain,Netral
"Pemerintah daerah yg jahat rakyat setempat yg bikin kesalahan ,ikan dan mahluk hidup yg di salahin sungguh manusia ak adil.",Netral
Ikan sapu2 diolah buat makanan sehari2 koruptor.,Netral
Itu tanda ilahi... teguran...yg harus disapu para koruptor dan penjahat di negara ini... sadarlah,Netral
"Yang jadi pertanyaan: 
 BERAPA ITU PENGAJUAN ANGGARANNYA?? 😂😂😂",Netral
Mantap langsung ganti ras mujaer aja pak sama lele,Positif
Harus Rutin Pak,Netral
"Bagus sih mikirin ikan sapu sapu, banjir nya ga di pikirin sampah nya",Netral
Skalian dong sapu2 koruptor,Netral
"Kurang kerjaan. Preman,/ kejahatan di Jakarta sangat tinggi Itu yang wajib dimusnahkan. Bukan kan sapu sapu",Netral
Kalau bersihin depan plaza Indonesia berhadapan sama grand Indonesia sapu2 nya banyak gede2 banget,Netral
Ngak penting ikan sapu sapu. Tuh. Jakarta. Apa lagi dinkelapa gading. Jalan hanya tambal sulam. Itu yg penting.,Netral
mantap teruskan musnahkan ikan sapu sapu,Positif
Koruptor lah yang di bersihkan..😂😂,Netral
"Daripada sekadar dimusnahkan dengan dikubur, seharusnya kita lebih inovatif dalam pemanfaatannya. Memang benar jika dijadikan pakan ternak ada risiko bioakumulasi logam berat dari sungai yang tercemar, tapi bukan berarti ikan ini sampah total.
 
 Secara teknis, ikan sapu-sapu bisa diolah menjadi Pupuk Organik Cair (POC) karena kandungan kalsium dan nitrogennya tinggi—sangat bagus untuk tanaman hias tanpa risiko masuk ke rantai makanan manusia. Selain itu, kulitnya yang punya tekstur eksotis mirip kulit buaya memiliki nilai ekonomi tinggi jika disamak menjadi produk kerajinan tangan. Sayang sekali jika potensi sumber daya yang melimpah ini dibuang percuma, padahal bisa jadi peluang ekonomi sirkular bagi masyarakat sekitar.",Positif
Akhirnya mereka sadar,Netral
sejak kapan ikan wanita perempuan dan pria 😂,Netral
"KEGIATAN POSITIP, TAPI TIDAK PENGARUH KEPADA PENINGKATAN KEMAKMURAN MASYARAKAT MISKIN",Negatif
Ini baru satu gebrakan yg ga ada di provinsi lain,Negatif
Selanjutnya sapu sapu koruptor yang lebih ganas,Netral
Mana nih komunitas pencinta ikan diam aja wkwkwk,Netral
Koruptor di tindak seperti ikan sapu2,Netral
Korupsi d sapuu😅😅,Netral
"Pr .gubetnur bukan ikan,tapi.sampah yang di buang ke kota orang lain ibu kota tak punya tpa .pengen bersih kota orang di kotori",Positif
Bisa nga ikan sapu sapu di teliti dahulu pasti ada kegunaan nya jangan di basmi tapi siasa karena Allah ciptakan mahluk pasti ada manfaatnya pa gubernur 😊,Negatif
😂😂 sapu² diurusin.. banjir sama macet pa.. 😂😂,Netral
Sapu bersih koruptor 😂,Positif
Sudah viral baru di jlan kn gini amat tinggal di konoha,Netral
Hei pramono....bersihkan sungai yg ada dijakarta,Netral
Hemmm kerjaan yg TDK JD target.harusnya kelanjutan pembangunan flyover dr Pesing arah k kali deres yg sering banjir.harusnya media pertanyakan kpd gub.,Netral
Berani sapu bersih koruptor???,Positif
👏👏👏👏👏👏,Netral
Selagiasih kotor sapu sapu akan bamyak,Negatif
"Ngimpi opo ya ikan sapu sapunya, sebelum disapu?!!🎉🫣😱",Netral
"HEBAT YAAAA KALO URUSAN PENCITRA'AN EN SENSASIONAL😂😂😂😂😂KENAPA BUKAN IKAN KORUPTOR DAN MAFIA YG GEMUK2x Itu yg di SAPU BERSIH DARI NEGERI INI,,😂😂😂😂😂😂😂😂😂😂😂😂",Positif
Sebaiknya dikasih ke TERMUL untuk dikonsumsi daripada mubazir,Netral
Gak ono kerjoan lain kok bahas ikan sapu2..aduh aduh .....anak tk 😂😂,Negatif
Ga bermutu banget,Negatif
"Ini cakep. Nih, jalau bisa 1 bulan sekali rutin, bersih dah airnya",Positif
Untuk obat itu..,Netral
"Cara primitif. Kurang cerdas. 
 Tuh ikan ada dan fungsinya apa gà tw.
 Ng-labrak yg buang limbah keok. Baru kali ini Jkt pnya pimpinan² nga2oh.",Netral
Tangani macet dn banjir,Netral
Saya setuju bnget basmi ikan sapu2 biyar ikan nya mkin bnysk,Positif
Ikan sapu dapu berdasi yg di instasi2 tolong disapu juga p.gup..👍,Netral
Kok lucu ya?,Positif
"Gub jual ke luar negri
 Buat tambahan dana😂😂",Netral
"Bukanya bersih2 sampah
 Malah gurusin ikan
 😅😅 Ga ada kerjaan",Negatif
"Binggung gubernur DKI mau ngapain,dari pada Ng ada kerjaan 😅",Netral
yg lebih sempurna caranya di racun . ikan sapu2 baru mati,Negatif
Sapu bersih juga para koruptornya,Positif
Lumayan gubernur jkt kelihatan ada hajatan massal....😊,Netral
Ikan sapu2 itu bs d konsumsi ga sih?asli gue ngk tau tp kl lihat bentuknyaa seremm sihh ya kaya lele tp kasar,Negatif
Ide bagus dibuat event bareng bersih sapu2 lagi...,Positif
"Koruptor itu disapu, telurnya bisa trilyunan",Netral
Berita ga bermanfaat...😂,Negatif
Gubernur DKI saking bingung ga ada kerjaan 😂😅,Negatif
ikan koruptor,Netral
Ruitin bersihin kalo cuma sekali ya... karna telurnya banyak 3 bulan kedepan mbludak lagi,Netral
"Ini pergub yaa !?
 Woi pak yg dibersihin itu sungai nya ,selama masih cemar sapu sapu tak akan sirnah.
 Tipis amat prestasi anda cm level sapu sapu",Netral
Waduh tukang somay bisa naikin harga nanti,Netral
"Dari pada ikan, mendingan beresin jalan-jalan yg bolong bekas galian sumur resapan yg ga ada fungsi",Negatif
"Jangan Lupa masih banyak hal2 yg lebih *_Penting_* dari Ikan Sapu2.
 Tolong Lh... Buat Masyrakat Bahagia",Negatif
Bagus nya hilang ikan sapu sapu nanti dilepas ikan nila dan patin boar bsa. Wisata mancing dlm.kota,Positif
"gambaran buat negri ini,yg banyak pejabaat sapu sapu",Netral
"Setelah bersih dari sapu-sapu ditabur benih ikan kemudian buat kesepakatan kapan bisa dipanen juga buat sangsi.
 Bila rakyat cerdas tentu akan patuh, disiplin kecuali kurawa.
 Semoga JKT jernih.",Positif
"👍👍👍 P Gub , lg panen ikan ,,",Netral
Sampah yang harus di utamakan bukan ikan sapu sapu.. kasian mereka juga makhluk hidup cipaat allah,Netral
"Ikan sapu sapu ada karna sungai dan kali itu kotor,
 
 Jadi??????",Netral
PEJABAT CUMA PIDATO,Netral
Ikan apa yang bisa hidup di air yang tercemar di kali jakarta selain ikan sapu-sapu?,Netral
Sungguh terlalu penuh pormalitas ...Ampe ngurus bagikan ..pdhal masih bnyak mslah yg lbih pnting ..alhmdulilah aku punya pmimpin terbaik KDM dari pmimpin yg kurang baik ..😂😂😂,Netral
"Semakin tercemar air di suatu t4,ikan sapu makin subur berkembang biak,Krn daya tahan pleksibitas yg sgt tinggi,ikan sapu bukan predator ttpi sbgi earli warning/sbgi tanda bahwa air di t4 tersebut tercemar& butuh perawatan.",Netral
Gurusin sapu sapu,Netral
Kerjaan seperti ini cukup RT RW saja😇😇😇,Netral
"Kurang kerjaan si pramono😂😂😂 sekelas gubernur tapi cara penyelesaiannya sampah😂😂😂😂 
 
 Tinggal setrum habis semua..
 
 Baru tabur bibit ikan yang mau di lestarikan",Netral
TANGKAP IKAN SAPU SAPU DAN TANGKAP SAMPAH SAMPAH SUNGAI PER KILO DIHARGAI ?....MANTAB,Netral
"Manusia yg korupsi juga sapu semua hanguskan, kok ikan sapu2 itu urusan kecil",Netral
LOMBA TANGKAP IKAN SAPU SAPU PERKILO DI HARGAI ?,Netral
Bkn hny ikan sapu sapu yg di bersihkan tp para koruptor yg sdh merajalela hrs di bersihkan dgn menerapkan sita asetnya..,Netral
Sekalian got-got yang mampet juga dibersihkan Pak.Gub... biar tidak banjir,Negatif
Ternyata ikan sapu-sapu sejenis manusia ada pria dan wanita bukan jantan betina. Selamat bersih2 pak,Netral
Enak buat lauk,Positif
"@kirain SAPU2 in.. KORUPTOR ?!!!
 yang sudah kePenuhan dan membludak !!
 Ternyata Sapu2in ikan ..toh ??! 😂🎉",Netral
kpn pejabat kotor di bersihin.,Negatif
yang perlu dimusnakan anis roy panci caplin karna merekala hama sebenarnya,Negatif
kang somay panen 🤭,Netral
"musnahkan binatang-binatang yg merugikan, KHUSUSNYA: BAJING LONCAT, TIKUS BERDASI",Netral
Kerja sia sia KL pembersihan tidak continue. Jgn lupa hapus koruptor,Negatif
Cara yang lebih canggih mengendalikan ikan sapu2 dengan mendatangkan predatornya yaitu: BUAYA,Netral
"Y tebar ikan lele dong ..
 Jangan ikan sampai sapu di ambil tapi ga ada ikan lokal yg di tebar....nanti telurnya terus menetas jadi ikan sapu papu.",Negatif
Agar bersih menurutku pemerintah harus membeli ikan sapu sapu dari kota dan kampung dan harus ada yang membeli dan menampungnya agar lebih cepat habis.,Positif
"Yaelah, baru kerja nagkap ikan",Netral
"Jangan cuma pemakan lumut yg disapu bersih,,!!!
 Pemakan UANG RAKYAT jg harus di sapu bersih, biar Adil,untuk kelangsungan Hidup",Negatif
BPOM harus segera menyelidiki makanan siomay apakah menggunakan daging ikan sapu2,Netral
Kn paky tua cengkaling ikn bisa mti,Netral
Ikan dbersihin bknnye pejabat yg korup dbersihin,Netral
DISUNGAI CIKEAS KOTA WISATA DAN SEKITARNYA SUNGAI SUDAH DIPENUHI IKAN SAPU2 ....,Netral
"APBD DKI..90 TRILYUN..!!!
 "" PROYEK IKAN SAPU SAPU ""😮
 
 WAJAR SAJA...,PARA POLTISI BEREBUT & BERSAING ,,UNTUK MENJADI GUBERNUR...😮😮😮
  AMAZING...😊😊😊",Netral
Kegiatan konyol,Netral
"Sekalian SAPU BERSIH itu TIKUS2 BERDASI,
 Peninggalan Pemalsu & Pembohong.",Positif
Urusin banjir tuh ikan 😅diurusin,Netral
Matiin ikan mah gampang tinggal dikasih potassium aja beres...!!! Gak perlu buang duit milyaran...!!! Tinggal di blok perlokasi terus diberi Portas. Selesaiii...!!! Jangan yg gampang dibuat susah...!!!,Negatif
Jangan lupa benih ikan asli di sebarin juga,Negatif
Bersih-bersih koruptor...bkn bersih-bersih ikan sapu...😂,Netral
langsung tanam itu bibit ikan,Netral
Kalang nelayan.... Kerja jadi gubenur cuma gitu..... Kkkkkkkk nalar rakyatnya dimana.....,Netral
Beritanya kurang lengkap. Ikan sapu-sapu nya gak dijelasin jenis sapu lidi apa sapu ijuk,Negatif
GUBERNUR IKAN SAPU SAPU 😅😅😅😅,Netral
MasyaAllah allah menciptakan ikan sapu sapu membawa eejeki bagi petugas yg di terjunkan sehingga pemda DKI bisa mengeluarkan 😂,Netral
"Ikan sapu sapu itu ikan invasif? Kalo baca dari google itu tertulis jelas ikan sapu sapu malah makan algae, kalo diambil tanpa menahu kalo jadi black death kedua gimana",Netral
Ikan sapu2 jga ber gak hidup jgn di musnahkn. Berikan dia tempat untuk hidup kyk gitu 😅😮😊,Negatif
Jangan hanya ikan sapu sapunya aja keruk lumpur2 seluruh sungai2 dan gorong gorong.,Negatif
Ok ..mantab..ambil aja dagingnya buat umpan mancing di laut,Positif
Terlalu fokus hingga besi di jembatan ancol pada ilang 😂,Netral
ladang korupsi baru😅😅😅,Netral
"Sampah,koruptor, para mapia parkir tuh bersihin, malah ikan sapu2 yg di bersihin",Netral
Coba ciptakan pembasmi ikan sapu sapu baru ✨😍,Netral
Dak penting sapu bersi ikan sapu sapu yg penting yg korupsi itu yg harus di sapu besar besaran itu yg harus di sapu pak,Netral
"MABTAP ....👍🏼
 SAMBEL PENYET SAPU SAPU",Netral
Lihat berapa hari ke depan ikan sapu sapu sudah timbul lagi,Netral
"Gak usah repot"" musnahkn mereka dg racun ikan , setelah sterill lalu taburkan ikan yg lain y .",Negatif
Dari pada gak ada kerjaan nya di jakarta....ya ini aja dah dikerjain😂😂,Negatif
Kerjaan Gubernur DKI gini amat ya! 😢,Netral
Darimana datangnya ikan sapu-sapu ? Memang tidak boleh dikonsumsi ya,Negatif
Gubernur hanya sukses mengurisi ikan sapu2,Netral
Sekelas ikan sapu sapu😮😢😅,Netral
Gubernur sapu sapu,Netral
Ikan sapu sapu mencerminkan sisi pemerintah nya kotor,Negatif
Bagus lah ketimbng g da kegiatan .. g jls bngt..,Positif
Ga bakalan ikan sapu” bakal hilang..klu telornya dilobang lobang ga diambilin juga.sekali netes bisa ratusan,Negatif
Lalu masukkan ikan lele biar bisa memakan telur dari ikan sapu sapu,Netral
"Beresin tuh jalan2 di jakarta banyak bgt galian udah bertahun2 ga di urus, bikin macet aja .",Negatif
"siapa yang tahu bahwa ada yg lebih berbahaya dari ikan sapu - sapu yg wajib disapu? 
 tapi siapa yang bisa menyapu?",Netral
"SAPU SAPU BERSIH PKI .... .... ......
 ALAM SUDAH MEMBUKA",Positif
Gubernur Coba suruh bersihin spu sapu di kali awas jangan pakai helikopter,Negatif
"Bersih bersih koruptor ,itu baru hebat.",Positif
"Sekalian bersihkan sungai diseluruh jakarta , biar bersih ,dan jernih airnya harus tiap hari , pasti bisa kaya sungai dijepang",Positif
"Harusnya di teliti diciptakan obat untuk pemusnahan massal karena kalo cuma dtangkap ga bakal habis, mana seluruh Indonesia ikan itu dah menjadi penghuni air liar",Negatif
Cieee.... Kerja ni yeee...,Netral
"Gubernur hebat ❤
 Perang lawan sapu sapu.
 
 Jangan pernah perang melawan preman, begal , dan mafia tanah !!!",Netral
Terus lbih bahaya mana ikan sapu sapu sama tikus berdasi,Negatif
"Diracun dan setrum. 
 Saya yakin akan habis ikan nya.",Netral
"Sekalian hapus bersih tembak ditempat maling uang rakyat (Koruptor) ..., bukan ngurusi jln macet , dimana"" galian ga da hbis nya ngurusin ikan sapu"" ... mmg ga da kebijakan yg lebih bagus lagi tuk warga",Netral
Julukannya Gubernur sapu sapu. Saja dari PD*P kan tuh...ya,Netral
"Caer proyek ikan sapu sapu 😂
 Ngeri ngeri PDI P",Netral
Jangan lupa sapu sapu juga koruptornya,Negatif
Memang orang kurang kerjaan,Netral
"kocak ya , ikan sapu sapu kan memang hidupnya di sungai yg kumuh dan tercemar, klo sungai banyak ikan sapu2 berarti sungainya kumuh dan tercemar limbah industri kok yg di salahin ikan sapu2 nya",Netral
Smoga bisa jadi awal sungai bersih dan jenih,Positif
Kali keruk,Netral
Setiap ciptaan allah tdk manfaat mahluk lainya,Netral
"sapu sapu : parah malah gw dibersihin, itu koruptor bersihin dongo",Netral
Kurang kerjaan...!,Netral
mata kalian apa picek.semua,Netral
"Mau nyapu pejabat kali yang suka korup, makanya bawa pasukannya..",Positif
"Bawa kesini Ika. Sapu sapu nya,, tk masak joz jis",Netral
Bagusnya sebagian ikan sapu-sapu ditempatkan kepada konservasi SDA,Netral
"Kapan sapu"" premanisme, koruptor dan bangli?? Jangan ikan sapu"" doang yg diurusin 🤧",Negatif
Bukan cuman di jakarta tapi di bandung juga udah invasif ikan sapu sapu,Netral
"hati hati buat sayembara kalau terlalu lama, bisa dimanfaatkan oknum malah jadi ternak sapu sapu kaya waktu kejadian ular di india",Netral
"Seberapa pengaruh ikan sapu sapu pa.. terhadap ekonomi rakyat..? 
 Di banding manusia yg sifatnya seperti ikan sapu sapu duduk di kursi DPR..",Netral
"Di keringkan, di giling. Buat pupuk bisa gak? 😅",Netral
Tukang somay😍😍,Netral
"Di sungai di jawa barat juga ada, tapi ga sebanyak ini. Padahal dari dulu sudah ada. Artinya pasti ada pemangsa alami ikan sapu-sapu.. Ko di jakarta bisa banyak banget.. Mungkin bisa di teliti ke sungai-sungai di desa..",Negatif
sekalian bersihin sampah dan jadikan momen ini sebagai awal gerakan masyarakat sadar lingkungan.,Netral
"Dulu di cina, pernah memusnahkan burung Pipit dan yang terjadi adalah justru merugikan manusia. Mau tau lengkapnya cari tau sendiri",Netral
"Sapu bersih itu Preman,Begal,Maling,pelaku kejahatan Paklik..
 Bukan ikan yg namanya Sapu2...piye thoo Pak Pak... beraninya sama Ikan.",Positif
"Ikan Sapu2 dibantai
 Narkoba Sabu2 di lestarikan
 😮😮😮",Netral
Sungguh gebrakan yg luar biasa...😂 ha-ha-ha,Netral
Limbah & sampah lebih bahaya,Negatif
"Seharusnya tugas penangkapan ikan sapu sapu itu diserahkan pada masyarakat setempat, hasil tangkapannya kemudian dibeli Pemda sebagai imbalan. Jika ini dilakukan, Pemda menambah lapangan pekerjaan yg ujung ujungnya meningkatkan kesejahteraan masyarakat.",Netral
"Sapu koruptor nya!!
 Ikan ngak ngaruh!!!",Netral
Ngapain coba basmi sapu2 mending aspal jalan yg bekas banjir di jalan banyak yg berlobang jln Tubagus angke Daan Mogot banyak aspal yg pada hancurr bekas hujan,Netral
"ketimbang di berantas, mending dijadikan pupuk tanaman ketimbang dijadikan pakan hewan ternak/peliharaan maupaun di konsumsi.
 
 Menjadikan ikan sapu-sapu sebagai pakan hewan (ternak) memang merupakan opsi yang sering disarankan untuk menekan populasi invasifnya, namun tetap memiliki risiko besar jika ikan tersebut berasal dari sungai tercemar. 
 
 Logam berat dari tubuh ikan sapu-sapu tidak hilang saat diolah menjadi pakan. Zat ini akan pindah dan menumpuk di daging hewan ternak yang memakannya.
 
 Jika ayam, bebek, atau lele diberi pakan ikan sapu-sapu tercemar, maka manusia yang memakan ayam atau lele tersebut tetap akan terpapar logam berat yang sama.
 
 Mengolah ikan sapu-sapu menjadi pupuk pilihan paling aman, karena logam berat yang terkandung di dalamnya tidak akan membahayakan manusia melalui rantai makanan secara langsung. Ikan sapu-sapu kaya akan Nitrogen (N), Fosfor (P), dan Kalium (K), serta kalsium dari tulangnya yang keras. Logam berat yang ada akan terikat di dalam tanah dan biasanya tidak terserap secara masif oleh buah tanaman, sehingga jauh lebih aman daripada diberikan ke hewan ternak.",Negatif
Karena biar kliatan gubernur DKI bekerja 😂😂,Netral
Segera tebar bibit2 ikan lokal agar cadangan pangan tersedia di sungai krn stlh krisis energi akan terjadi krisis pangan,Netral
Kenapa anak2 nya ngk dijadiin pakan ikan yang memangsa sesama ikan,Netral
Save ikan sapu sapu 😢 (ISSFC - Ikan Sapu Sapu Fans Club),Netral
"⚠️ PEMERINTAH - BPOM JANGAN DIAM SAJA. 
 JANGAN HANYA EDUKASI & HIMBAUAN. 
 BUAT ATURAN YG TEGAS PELARANGAN JUAL-BELI & KONSUMSI IKAN SAPU-SAPU. 
 SANKSI PIDANA YANG TEGAS. 
 PENGAWASAN/ RAZIA TERHADAP PEDAGANG MAKANAN YG BERPOTENSI MENGGUNAKAN IKAN SAPU-SAPU.",Negatif
Mending mikirin gimana buat itu sungai bersih dari zat berbahaya kalau emang peduli alam dan ikan lain,Positif
Pemda Dki . Ga becus KINERJA nya. Buang2 anggaran aja.,Negatif
Yang perlu dibasmi itu para koruptor dan pejabat yang gak berguna,Negatif
"Bukan di dano toba doang ikan sapu sapu di dano Jatiluhur juga banyak , di bendungan gerak serayu juga banyak , bahkan di tersier pengairan sawah juga molai banyak , ,
 Katanya Indonesia punya banyak orang pintar bisa teliti ini itu. , seharusnya Indonesia bisa bikin racun yg kusus buat ikan sapu sapu , ,tinggal sebar racun bisa ikan sapu sapu bersih",Negatif
Di kirain basmi koruptor,Netral
Jika boleh di programkan ke seluruh penjuru negeri untuk membrantas jenis ikan ini di danau kami pun udah terlalu banyak berkembang biak ikan setan ini dari Gorontalo menyimak sungguh sangat menggangu dan merusak 🙏🙏🙏🙏🙏,Negatif
"Justru bakso"" cuangkih itu pake daging ikan ????""🤭 Dan coba sebutkan lagi,,,, bahan"" yg masih pake daging itu ikan 😂",Netral
Yg harus dibasmi itu koruptor bukan ikan sapu sapu,Netral
"Waduh,",Netral
"Waduh,",Netral
"Logis banget, bukan ikan tapi hama perusak ekosistem dan fasilitas tanggul, ya peru di basmi",Negatif
"Cara kalian salah,ikan asli di kolam kan dulu,baru racun semuanya sungainya,biar ikan sapu sapu musnah,ini lolos 5 ekor aja udah sia-sia anggaran nangkap sapu sapu nya 😂😂😂",Negatif
Itu ikan kan bagus untuk aqaurium,Positif
tapi klo ikan sapu sapu mengandung logam berat berbahaya byat pupuk dan pakan,Netral
